"d05","d06","d07","d08","d09","d095","d099","d0995"
0.0078792908627617,0.010929622162957,0.0152997167729776,0.0223998109646041,0.0375109376049173,0.0569671858287734,0.12018,0.154195240239444
0.00772419406137624,0.0107150774351028,0.0150006237417427,0.0219652311531771,0.0367964525903789,0.0559103977419272,0.1181416,0.151695688478628
0.00756909725999078,0.0105005327072487,0.0147015307105077,0.02153065134175,0.0360819675758404,0.054853609655081,0.1161032,0.149196136717812
0.00741400045860533,0.0102859879793946,0.0144024376792727,0.0210960715303229,0.035367482561302,0.0537968215682348,0.1140648,0.146696584956995
0.00725890365721987,0.0100714432515405,0.0141033446480377,0.0206614917188958,0.0346529975467635,0.0527400334813887,0.1120264,0.144197033196179
0.00710380685583441,0.00985689852368634,0.0138042516168027,0.0202269119074687,0.0339385125322251,0.0516832453945425,0.109988,0.141697481435363
0.00694871005444896,0.00964235379583222,0.0135051585855677,0.0197923320960416,0.0332240275176867,0.0506264573076963,0.1079496,0.139197929674546
0.0067936132530635,0.0094278090679781,0.0132060655543327,0.0193577522846146,0.0325095425031482,0.0495696692208501,0.1059112,0.13669837791373
0.00663851645167804,0.00921326434012397,0.0129069725230977,0.0189231724731875,0.0317950574886098,0.048512881134004,0.1038728,0.134198826152914
0.00648341965029258,0.00899871961226985,0.0126078794918627,0.0184885926617604,0.0310805724740713,0.0474560930471578,0.1018344,0.131699274392097
0.00632832284890713,0.00878417488441573,0.0123087864606278,0.0180540128503333,0.0303660874595329,0.0463993049603116,0.0997959999999999,0.129199722631281
0.00622424144476167,0.00864003826866525,0.0121075653646128,0.0177608270706835,0.0298809624436865,0.0456756984556728,0.0983685666666666,0.12743412413911
0.00612016004061622,0.00849590165291478,0.0119063442685977,0.0174676412910336,0.02939583742784,0.044952091951034,0.0969411333333333,0.12566852564694
0.00601607863647077,0.0083517650371643,0.0117051231725827,0.0171744555113838,0.0289107124119936,0.0442284854463953,0.0955137,0.123902927154769
0.00591199723232532,0.00820762842141383,0.0115039020765677,0.0168812697317339,0.0284255873961472,0.0435048789417565,0.0940862666666666,0.122137328662598
0.00580791582817987,0.00806349180566335,0.0113026809805527,0.0165880839520841,0.0279404623803007,0.0427812724371177,0.0926588333333333,0.120371730170428
0.00570383442403441,0.00791935518991288,0.0111014598845377,0.0162948981724342,0.0274553373644543,0.0420576659324789,0.0912313999999999,0.118606131678257
0.00559975301988896,0.0077752185741624,0.0109002387885227,0.0160017123927844,0.0269702123486079,0.0413340594278401,0.0898039666666666,0.116840533186086
0.00549567161574351,0.00763108195841193,0.0106990176925077,0.0157085266131345,0.0264850873327614,0.0406104529232014,0.0883765333333333,0.115074934693915
